offer_accepted,reward,mailer_type,income_level,#_bank_accounts_open,overdraft_protection,credit_rating,#_credit_cards_held,#_homes_owned,household_size,own_your_home,average_balance
No,Cash Back,Letter,Medium,1,No,High,more than 2,1,2,Yes,7.043814723389233
No,Air Miles,Letter,Low,1,No,Medium,1,1,3,No,6.814268435888673
No,Cash Back,Postcard,Medium,1,Yes,Low,more than 2,1,3,Yes,6.884742504673064
No,Points,Postcard,Low,more than 1,No,Medium,2,more than 1,4,Yes,6.60934924316738
No,Air Miles,Postcard,Low,1,No,Medium,1,1,2,Yes,7.203963401153352
Yes,Points,Letter,Low,more than 1,No,Low,more than 2,1,3,Yes,7.283104763185678
No,Air Miles,Letter,Medium,1,No,Medium,1,1,4,No,7.491227092732982
No,Points,Letter,Low,more than 1,Yes,Medium,1,1,3,Yes,7.078973757431427
No,Cash Back,Letter,Low,1,No,High,2,1,3,Yes,7.099820874725485
No,Cash Back,Letter,Low,1,Yes,High,1,1,2,Yes,6.941915130628842
No,Cash Back,Letter,High,more than 1,No,Low,2,1,5,Yes,6.871091294610546
No,Cash Back,Postcard,Medium,1,No,High,2,more than 1,5,Yes,6.934153752836668
No,Points,Letter,Low,1,No,High,1,1,5,Yes,6.977980723871634
No,Cash Back,Letter,Low,1,No,Low,2,more than 1,3,Yes,6.9474566458336895
No,Air Miles,Postcard,Medium,1,No,Low,more than 2,1,3,Yes,6.887807641172441
No,Points,Postcard,High,1,No,High,2,1,1,Yes,6.809591030194905
No,Cash Back,Letter,High,1,Yes,Medium,2,1,5,Yes,6.829793737512425
No,Cash Back,Postcard,Low,1,No,Low,1,1,2,Yes,6.9686151672389
No,Points,Postcard,Medium,1,Yes,Medium,more than 2,more than 1,1,No,6.706250902771409
Yes,Air Miles,Letter,High,1,Yes,High,2,1,5,Yes,6.987951820976414
No,Cash Back,Postcard,Medium,more than 1,No,Low,1,1,4,Yes,6.8343778091773615
No,Points,Postcard,High,1,No,Medium,2,1,3,Yes,7.242976733701697
No,Points,Postcard,Low,more than 1,No,Low,1,more than 1,5,No,6.942639680835639
No,Air Miles,Postcard,Medium,1,No,Low,2,1,5,Yes,6.605974282150855
No,Cash Back,Postcard,High,1,No,High,2,1,4,Yes,7.13289683295902
No,Points,Postcard,Low,1,No,High,1,1,5,Yes,7.051639149310715
No,Cash Back,Postcard,High,1,No,Medium,2,1,4,Yes,6.762729506931879
No,Cash Back,Letter,Medium,1,No,High,more than 2,1,2,No,7.053153481671494
No,Cash Back,Postcard,High,1,No,High,1,more than 1,5,No,6.995308175989998
No,Cash Back,Letter,Low,1,No,Medium,2,1,4,No,6.995308175989998
No,Air Miles,Letter,Low,1,No,Low,2,1,3,Yes,6.652540396667858
No,Air Miles,Postcard,Medium,1,No,Medium,2,1,3,Yes,6.959398512133975
No,Air Miles,Postcard,Medium,1,No,Medium,2,1,4,Yes,6.851449442771043
No,Points,Letter,Medium,1,No,High,1,more than 1,4,No,7.045994323205903
No,Cash Back,Letter,High,1,No,High,2,1,3,Yes,7.056606225714492
No,Air Miles,Postcard,High,1,No,High,1,1,3,No,6.730421263699221
No,Cash Back,Letter,Medium,more than 1,No,Medium,2,1,3,Yes,6.9648442459662645
No,Cash Back,Postcard,Medium,1,No,Medium,more than 2,1,5,No,6.573330943978225
Yes,Air Miles,Postcard,High,more than 1,No,Medium,2,more than 1,3,Yes,6.700115914203892
No,Cash Back,Letter,Medium,1,No,High,2,1,3,No,6.764750584565133
No,Cash Back,Postcard,Medium,1,No,Low,1,1,3,Yes,6.789253234901136
No,Cash Back,Letter,High,1,No,Medium,2,1,5,No,7.491506032762684
No,Points,Postcard,High,1,No,High,2,1,3,Yes,6.988413181999592
No,Cash Back,Letter,Medium,1,No,Low,2,1,2,No,6.778500443124875
No,Air Miles,Letter,Medium,1,No,High,2,1,3,No,6.540308238061494
No,Air Miles,Postcard,Low,more than 1,No,Medium,2,more than 1,4,Yes,6.703801422061068
No,Points,Postcard,Medium,1,No,Medium,2,1,4,Yes,6.863280788880307
No,Cash Back,Letter,High,1,No,High,2,1,4,Yes,7.1565665770449245
No,Air Miles,Letter,High,1,Yes,Low,2,1,3,Yes,6.844282856026563
No,Points,Letter,Medium,more than 1,Yes,Medium,2,1,3,Yes,6.825188555325175
No,Points,Postcard,Medium,more than 1,Yes,High,1,1,3,Yes,6.780773817221347
No,Points,Letter,Medium,1,Yes,Low,more than 2,1,4,No,7.074963197966044
No,Air Miles,Postcard,Low,1,No,Medium,1,more than 1,3,No,7.05142262879455
No,Points,Postcard,High,1,No,High,2,1,4,Yes,6.678656530629254
No,Points,Postcard,Medium,1,Yes,Low,more than 2,1,4,Yes,6.833301093057189
No,Points,Letter,Medium,1,No,Medium,more than 2,1,2,No,7.501082124259871
No,Cash Back,Letter,Low,1,No,Medium,1,1,5,No,7.05380177991138
No,Air Miles,Postcard,High,1,Yes,Low,2,1,4,No,7.02331361961641
No,Cash Back,Letter,High,1,No,Medium,2,1,4,Yes,7.093404625868766
No,Air Miles,Letter,Low,more than 1,No,Low,1,1,4,Yes,7.283276510717229
No,Points,Postcard,High,1,No,Low,2,1,2,No,6.533788837933344
No,Points,Postcard,High,more than 1,Yes,Low,1,1,3,Yes,6.834108738813838
No,Points,Postcard,High,1,No,Low,2,1,2,No,6.839476438228843
Yes,Cash Back,Postcard,Medium,more than 1,No,Low,1,1,5,No,7.033726918544073
No,Cash Back,Letter,Medium,1,No,Low,more than 2,more than 1,5,Yes,7.172040773627522
No,Cash Back,Letter,High,more than 1,No,Medium,1,1,2,Yes,7.090076835776092
No,Points,Letter,Medium,more than 1,No,Low,1,1,3,Yes,6.989565654179703
No,Cash Back,Postcard,Low,1,No,High,2,1,2,No,6.998966159035521
No,Points,Letter,High,1,Yes,High,1,1,3,Yes,7.007600613951853
No,Air Miles,Letter,High,1,No,Low,1,1,4,Yes,6.950335726517255
No,Cash Back,Postcard,Medium,1,No,High,1,1,5,Yes,6.994620812003719
No,Points,Postcard,Medium,1,No,Medium,2,1,3,Yes,6.882693848386766
No,Air Miles,Postcard,Medium,more than 1,No,High,2,1,3,Yes,6.900227012561346
No,Points,Postcard,Low,1,Yes,Medium,2,1,3,Yes,7.094442293285732
No,Air Miles,Postcard,Medium,1,No,Low,2,1,5,No,6.763884908562435
No,Points,Postcard,Medium,1,No,High,2,1,2,Yes,7.0431599159883405
No,Air Miles,Letter,Medium,1,No,Medium,more than 2,more than 1,4,Yes,6.8664123154477545
No,Cash Back,Letter,Medium,1,No,Low,2,more than 1,3,Yes,6.963426476352598
No,Points,Letter,Medium,1,No,Medium,more than 2,1,3,Yes,6.54534966033442
No,Cash Back,Postcard,Low,1,No,High,more than 2,1,2,Yes,7.121656248929415
No,Cash Back,Letter,Low,1,No,High,2,1,5,Yes,6.942156705699469
No,Cash Back,Letter,High,1,No,High,1,1,4,Yes,7.128896827625674
No,Cash Back,Letter,Medium,1,No,Low,2,1,2,No,6.907505247726927
No,Points,Postcard,High,1,No,Medium,2,1,3,Yes,6.9363427358340495
No,Air Miles,Letter,High,1,No,Low,1,1,3,No,7.044687133477281
No,Points,Postcard,Medium,more than 1,No,Low,2,1,6,No,7.165107001626084
No,Points,Letter,Medium,1,Yes,High,2,more than 1,3,Yes,7.079184394609668
No,Air Miles,Postcard,Medium,more than 1,No,High,1,1,5,Yes,7.0354886454916885
No,Cash Back,Letter,Low,1,No,Low,more than 2,1,4,Yes,7.15481065034266
No,Air Miles,Postcard,High,1,No,Low,2,more than 1,3,Yes,7.0587581525186645
No,Cash Back,Postcard,Medium,1,No,Low,2,1,3,No,6.862234763680328
No,Cash Back,Postcard,Medium,1,No,Medium,2,1,3,Yes,6.979378022655104
No,Points,Letter,Medium,1,No,Medium,1,1,4,Yes,6.7912214627261855
No,Air Miles,Postcard,Low,more than 1,No,Low,more than 2,1,3,Yes,6.955115850341975
No,Air Miles,Letter,Low,more than 1,No,Low,1,1,3,Yes,6.495643128152179
No,Cash Back,Postcard,High,1,No,Medium,2,more than 1,3,Yes,6.966024187106113
No,Air Miles,Letter,Low,1,No,Medium,1,1,2,Yes,7.463219604366508
No,Points,Postcard,High,1,No,Low,1,1,4,Yes,7.258764201294243
No,Points,Letter,Medium,1,No,High,2,1,3,No,7.024204091625384
No,Cash Back,Postcard,Medium,more than 1,No,Low,1,1,4,No,7.132297851210054
No,Air Miles,Letter,Medium,1,No,High,more than 2,more than 1,2,Yes,6.964135612418245
No,Points,Postcard,High,1,No,Low,1,more than 1,4,No,7.086737934510577
No,Air Miles,Letter,Medium,more than 1,Yes,High,1,1,3,Yes,6.842950055616021
No,Air Miles,Postcard,High,1,No,Low,1,1,5,Yes,6.675192505751435
No,Cash Back,Letter,Medium,more than 1,No,High,1,1,4,Yes,7.263329617476836
No,Air Miles,Letter,Low,more than 1,No,High,2,1,4,Yes,6.6408557457128845
No,Air Miles,Letter,Medium,1,No,High,2,1,3,Yes,6.7226297948554485
No,Air Miles,Letter,Low,1,No,High,2,1,3,No,7.058973090724758
No,Cash Back,Letter,Medium,more than 1,No,High,2,more than 1,3,Yes,6.972137537911405
No,Cash Back,Letter,Medium,1,Yes,Low,1,1,3,Yes,6.930739115372512
No,Cash Back,Postcard,Medium,1,No,Low,more than 2,1,5,Yes,7.074963197966044
No,Air Miles,Postcard,Low,1,No,Medium,more than 2,1,4,Yes,7.475905969367397
No,Cash Back,Letter,Low,more than 1,No,Low,2,more than 1,2,No,6.951054203377285
No,Points,Letter,Medium,1,No,High,2,1,3,No,7.440146680662688
No,Air Miles,Postcard,High,1,No,Medium,2,1,4,No,6.75343791859778
No,Air Miles,Postcard,Low,1,No,Low,more than 2,more than 1,4,No,7.005335607321001
No,Points,Letter,Low,1,No,Medium,2,1,4,No,6.92510391731675
No,Cash Back,Letter,Low,1,No,Low,more than 2,1,6,No,6.736076882286662
No,Cash Back,Postcard,Medium,1,No,Low,more than 2,more than 1,6,Yes,6.816462020535746
Yes,Air Miles,Letter,Low,1,No,Low,1,1,3,No,7.040974122768359
No,Air Miles,Letter,Medium,1,No,High,1,1,4,Yes,6.85356304989871
No,Cash Back,Letter,Low,1,No,High,more than 2,1,5,Yes,7.082758454968412
No,Air Miles,Letter,Medium,1,No,High,more than 2,1,4,Yes,6.829793737512425
No,Cash Back,Postcard,Low,1,No,Low,2,1,4,No,6.715080310108691
No,Points,Postcard,Medium,1,No,High,more than 2,1,4,No,6.914730892718563
No,Points,Letter,Low,1,No,Low,1,1,4,Yes,6.9174580544435225
No,Points,Letter,Low,1,No,Medium,2,1,3,No,7.029087564149662
No,Cash Back,Postcard,High,more than 1,No,Low,2,1,1,Yes,7.201543669865679
No,Points,Postcard,Low,1,Yes,Low,more than 2,1,3,No,7.22402480828583
No,Cash Back,Letter,Medium,1,No,Low,1,more than 1,3,No,7.194624521176892
No,Points,Postcard,Low,1,Yes,High,2,1,3,Yes,6.558906771292869
No,Air Miles,Postcard,Medium,1,No,High,1,more than 1,3,Yes,7.31986492980897
No,Air Miles,Postcard,High,1,No,Medium,1,1,2,Yes,6.942156705699469
No,Air Miles,Postcard,Medium,1,No,Low,more than 2,1,5,No,6.915971433753477
No,Air Miles,Letter,Medium,1,No,High,more than 2,1,4,Yes,6.774223886357614
No,Points,Letter,Medium,more than 1,No,High,1,more than 1,4,Yes,7.046647277848756
No,Points,Postcard,Medium,1,No,High,2,1,3,No,6.870831924877539
No,Points,Postcard,Medium,1,No,Low,more than 2,1,5,No,7.2715299600360925
No,Air Miles,Letter,Low,1,No,High,1,1,4,Yes,7.1565665770449245
No,Air Miles,Letter,Medium,1,No,High,2,1,3,Yes,6.937799400330514
No,Air Miles,Postcard,Low,1,No,High,2,1,2,No,6.785305119225573
No,Air Miles,Letter,Medium,1,No,Low,more than 2,more than 1,4,No,7.04359650189355
No,Points,Letter,Medium,1,No,Medium,2,more than 1,3,Yes,7.0192966537150445
Yes,Air Miles,Letter,High,1,No,Medium,1,1,5,Yes,6.955354257781416
No,Air Miles,Postcard,Low,1,No,Medium,more than 2,1,4,Yes,6.901234061991872
No,Air Miles,Letter,Low,1,No,High,1,1,1,Yes,6.971903098805889
No,Points,Postcard,Low,1,No,Low,more than 2,1,3,No,7.331060305218632
No,Air Miles,Letter,Medium,1,No,Medium,2,1,2,Yes,7.463219604366508
No,Air Miles,Letter,Medium,1,No,Medium,more than 2,1,5,No,6.842416437673797
No,Points,Postcard,Low,1,No,Low,1,1,1,Yes,6.965552377708354
No,Points,Letter,Medium,1,No,Medium,more than 2,1,3,Yes,6.752270376141742
No,Cash Back,Postcard,Medium,1,No,Medium,1,more than 1,5,No,7.142036574706803
No,Cash Back,Letter,Medium,more than 1,No,Medium,1,1,6,Yes,6.998737926694008
No,Cash Back,Postcard,Medium,1,No,Low,1,more than 1,3,No,7.143617602704121
Yes,Air Miles,Postcard,Medium,1,No,Low,more than 2,1,4,No,6.942156705699469
No,Points,Postcard,Medium,1,No,Low,2,more than 1,2,Yes,7.099408163204976
No,Cash Back,Letter,Low,1,No,High,2,1,3,Yes,7.04882071926074
No,Points,Postcard,Low,more than 1,No,Medium,2,1,3,Yes,6.540308238061494
No,Points,Letter,Medium,1,No,Medium,2,1,3,Yes,7.168001918247849
No,Points,Letter,Medium,1,No,Medium,2,more than 1,3,Yes,6.538863151104813
No,Cash Back,Letter,Medium,1,No,Medium,1,1,4,Yes,7.058113060570694
No,Cash Back,Letter,Low,1,Yes,Low,more than 2,1,1,Yes,6.774509559834775
No,Cash Back,Postcard,Low,1,No,High,2,1,2,Yes,7.149720584536935
No,Air Miles,Letter,Low,more than 1,No,Low,1,1,3,No,6.93707133331619
No,Cash Back,Letter,Medium,more than 1,No,Medium,1,1,4,No,6.5195159515390415
No,Air Miles,Postcard,High,1,No,Low,more than 2,1,4,No,6.960584892626669
No,Points,Postcard,Low,1,No,High,1,1,3,No,6.930494765951626
No,Points,Letter,Medium,1,No,Medium,more than 2,more than 1,3,Yes,6.932447891572509
Yes,Points,Postcard,High,more than 1,No,Low,1,1,1,Yes,6.789253234901136
No,Air Miles,Letter,Medium,1,No,Medium,2,more than 1,4,No,7.059832381862487
No,Points,Letter,Medium,1,No,High,more than 2,1,3,Yes,7.060905458475812
Yes,Cash Back,Postcard,Low,1,Yes,Low,2,1,4,Yes,6.892641641172089
No,Air Miles,Letter,Low,1,Yes,Medium,2,1,4,Yes,6.602248621617804
No,Cash Back,Letter,Medium,1,No,High,2,1,3,Yes,7.0707241072602764
No,Air Miles,Postcard,Medium,1,No,Medium,more than 2,more than 1,5,No,7.3168803479217885
Yes,Points,Postcard,Low,more than 1,No,Low,more than 2,1,3,Yes,6.78247546255538
No,Cash Back,Postcard,Medium,1,No,Low,2,1,3,Yes,7.064331586024234
Yes,Cash Back,Letter,Low,more than 1,No,Low,more than 2,more than 1,3,Yes,7.010763029056366
No,Points,Postcard,Low,1,No,High,more than 2,more than 1,1,No,6.941915130628842
No,Points,Postcard,Medium,1,No,High,1,1,4,Yes,6.611032461878208
No,Cash Back,Postcard,Medium,more than 1,No,High,2,1,3,Yes,7.261400638360505
No,Points,Postcard,Medium,1,No,High,2,1,3,No,7.042941551537205
No,Air Miles,Postcard,Medium,1,No,High,2,1,5,No,6.720220155135295
No,Air Miles,Letter,Medium,1,Yes,High,1,1,4,No,6.7733663759434855
No,Cash Back,Postcard,High,1,No,Medium,more than 2,1,4,Yes,6.5998704992128365
No,Cash Back,Postcard,Medium,1,No,High,1,1,4,Yes,6.495643128152179
No,Points,Postcard,High,1,No,High,1,1,3,Yes,7.056390778121285
No,Points,Postcard,Medium,1,Yes,Medium,more than 2,1,2,No,6.914234245079846
Yes,Cash Back,Postcard,High,1,No,Low,2,1,4,Yes,6.799334530027717
No,Air Miles,Letter,Medium,1,No,High,2,more than 1,5,Yes,7.005562338985049
No,Points,Letter,Medium,more than 1,Yes,Medium,more than 2,1,5,No,6.57402926802895
No,Points,Letter,Medium,1,No,Low,1,1,5,Yes,7.385541048669927
No,Points,Letter,High,more than 1,No,High,2,1,3,No,6.819197252000346
No,Cash Back,Letter,Low,1,No,Medium,more than 2,1,4,No,6.943363706449505
No,Air Miles,Letter,Low,more than 1,Yes,Medium,1,1,2,No,7.141047161348162
No,Air Miles,Postcard,Medium,1,No,Medium,more than 2,1,5,No,6.62870253322841
No,Air Miles,Postcard,Low,1,No,Medium,1,1,3,Yes,7.167230759543737
Yes,Air Miles,Postcard,Medium,1,Yes,Medium,more than 2,1,2,Yes,6.851713888098512
No,Cash Back,Letter,Medium,1,No,High,2,more than 1,2,Yes,7.046864834686337
No,Points,Postcard,Medium,more than 1,No,High,more than 2,1,4,Yes,6.6293632534374485
No,Air Miles,Postcard,High,more than 1,No,Low,1,1,4,Yes,7.305020190524962
No,Points,Postcard,Low,1,Yes,Low,1,1,5,No,6.981934677156389
No,Air Miles,Postcard,Medium,1,Yes,High,2,1,5,Yes,6.9985096422506015
Yes,Air Miles,Postcard,Medium,1,No,Low,1,1,4,Yes,6.821652579928726
No,Cash Back,Postcard,Low,1,No,Medium,more than 2,1,3,No,7.228207012763344
No,Air Miles,Postcard,Medium,1,No,Low,2,1,4,No,6.4765876735216
No,Points,Postcard,Low,1,No,Low,2,1,4,Yes,6.5283233479207885
No,Points,Letter,Medium,1,No,Low,1,1,5,No,6.887807641172441
No,Cash Back,Postcard,High,1,No,High,2,more than 1,4,No,6.818650803899316
No,Air Miles,Letter,Medium,1,Yes,High,more than 2,1,3,Yes,6.628372009345052
No,Cash Back,Letter,Medium,1,No,Low,2,1,2,No,6.909503749516254
No,Points,Postcard,Medium,1,No,Low,2,1,5,Yes,7.010311867307229
No,Points,Letter,Medium,1,No,High,2,1,5,Yes,6.637585631614988
No,Points,Letter,High,1,No,Medium,2,1,3,Yes,7.110287876392222
No,Air Miles,Postcard,Low,1,No,Medium,2,1,2,Yes,6.838940962981777
No,Cash Back,Letter,Medium,1,No,Low,2,1,3,Yes,6.876006580667557
No,Points,Postcard,Medium,more than 1,No,Low,1,more than 1,2,No,6.912494033329311
No,Air Miles,Postcard,Medium,1,No,High,2,1,3,Yes,7.108244139731541
No,Cash Back,Postcard,High,more than 1,No,Low,1,1,4,Yes,6.820562067279759
No,Cash Back,Postcard,Medium,1,No,Medium,more than 2,1,3,Yes,6.892895416075113
No,Cash Back,Letter,Medium,1,Yes,High,2,1,2,Yes,7.144801735465339
No,Points,Postcard,High,more than 1,No,Medium,2,1,4,Yes,6.802950164616011
No,Cash Back,Postcard,High,1,No,Medium,more than 2,1,2,No,7.111104202968168
Yes,Points,Postcard,Low,1,No,Low,2,1,5,No,7.459482894068554
No,Cash Back,Letter,Medium,more than 1,No,High,1,more than 1,4,Yes,6.9648442459662645
No,Points,Letter,Low,1,No,High,more than 2,1,2,Yes,7.087782539222719
No,Air Miles,Letter,Medium,1,No,High,2,more than 1,3,Yes,7.015936811826665
No,Points,Letter,Medium,more than 1,Yes,High,2,1,4,Yes,6.877553770249016
No,Air Miles,Letter,Medium,1,No,Low,1,1,5,Yes,6.71447388195184
Yes,Points,Postcard,Medium,more than 1,No,Low,1,1,4,Yes,6.900982394694708
No,Cash Back,Postcard,Medium,more than 1,No,Low,2,more than 1,4,No,6.622403821868638
No,Points,Letter,Medium,1,No,High,1,more than 1,4,Yes,7.005562338985049
No,Air Miles,Postcard,High,1,No,Low,more than 2,1,3,No,6.630353515937912
No,Points,Letter,High,1,No,Low,1,1,5,Yes,6.996681488176539
No,Points,Letter,Medium,more than 1,No,Medium,more than 2,1,4,Yes,6.9782137426306985
No,Cash Back,Postcard,Low,1,No,High,2,1,3,Yes,6.814817283322868
No,Points,Letter,Medium,1,No,Medium,more than 2,1,5,Yes,6.786152457222888
No,Points,Postcard,Low,1,No,Medium,more than 2,1,6,Yes,6.916467219584159
No,Points,Letter,High,more than 1,Yes,High,2,1,3,Yes,6.975413927455952
No,Air Miles,Postcard,Medium,1,No,Low,1,1,3,No,6.999650543686393
No,Cash Back,Letter,High,1,No,Low,2,more than 1,3,Yes,7.054881343872431
No,Air Miles,Letter,Medium,1,No,Medium,2,more than 1,2,No,6.9243665447873335
No,Air Miles,Postcard,Low,more than 1,No,High,2,1,4,No,6.895176496775277
No,Cash Back,Letter,High,1,Yes,Medium,more than 2,1,3,Yes,6.870053411798126
No,Cash Back,Letter,Medium,1,No,Medium,2,1,3,Yes,6.847739846572151
No,Cash Back,Postcard,High,more than 1,Yes,Medium,1,1,3,No,6.957259473885226
No,Points,Postcard,Low,more than 1,No,High,1,1,3,Yes,6.564912795353081
No,Air Miles,Postcard,Low,more than 1,No,High,more than 2,1,4,No,7.065826833552632
No,Cash Back,Postcard,High,1,No,High,1,1,5,Yes,7.136085356983647
